Mechanism,Minimum evidence class,ICEMS necessity (1–5),Causal-ID value (1–5),Cost (1–5),Incomparability risk (1–5),Journal value (1–5),Smallest discriminating request
Multiplier/budget calibration,Current paper: read-only reanalysis; causal claim: new prospective controlled experiment with full update logging,4,4,3,2,4,"Log every actor-update $\lambda$, $Q$ gradients, and compare a preregistered budget/weight intervention on fresh banks."
Missing action-effort regularization,Current paper: no new work required; causal claim: new prospective controlled experiment,4,5,4,2,5,"Hold all else fixed and vary only a preregistered effort/TV term; fresh seeds and banks are part of the successor contract, not the estimand."
Objective/endpoint mismatch,Current paper: no new work required; causal claim: new prospective controlled experiment,5,5,4,2,5,"Compare frozen surrogate versus gate-aligned objective under the same plant, action object, diagnostics, and fresh bank."
Optimization insufficiency,Complete successor MARL study with fresh seeds/banks and diagnostic logging,5,5,5,2,5,"Budget/checkpoint intervention plus Q calibration, gradients, replay coverage, and common random numbers."
Partial observability,"New prospective non-training calculation, followed by a controlled experiment if outcome causality is claimed",2,4,3,2,4,Linear/nonlinear observability or state-reconstruction test; then change only history/state information.
Runtime-message value,Read-only sensitivity if exact input rows are reconstructible; otherwise new prospective controlled sensor-channel intervention,4,4,3,2,4,Frozen-policy true/zero/conditionally permuted messages on fresh scenarios with common random numbers.
Credit assignment,Additional logging only for diagnosis; new prospective controlled experiment for causality,2,4,4,3,4,"Agent-wise action gradients, critic attribution, counterfactual advantages; change only credit mechanism."
Action-decoder geometry,New prospective non-training calculation,3,4,2,1,5,"One-sided decoder Jacobians, constrained lifted maps, slew/headroom reachable sets at all operating points."
Direct-M/D physical authority,No new work to reject zero authority; new prospective non-training calculation for limited authority,4,4,3,1,5,Actual reduced DAE Jacobians and finite-horizon projected authority/conditioning.
Strong-comparator headroom,No new work for finite-family strength; new prospective non-training optimal-control calculation for broader headroom,3,3,3,2,4,Constrained direct-M/D finite-horizon optimum under the identical physical gate.
Distribution shift,Read-only per-profile decomposition if existing artifacts contain it; causal claim requires new prospective controlled experiment,3,4,4,2,4,Same-profile versus held-out-profile evaluation under a fresh preregistered bank split.
Action-basis alignment,New prospective controlled experiment; a full successor MARL study is required to attribute a learning failure,4,5,5,5,5,"Match plant, estimator, window, bank, reference, effort metric, and change only the action object."
Implementation/accounting defects,Read-only reanalysis of existing artifacts,5,1,1,1,2,"Verify hashes/lineage, correct count and round metadata, numeric-sort snapshots, document missing execution provenance."
