Issue,Correct value,Consequence,Required repair
“264 evaluation records”,`PROVED-MATHEMATICALLY` 40 JSON files and 240 trajectories: 216 learning + 24 deterministic.,`CONTRADICTED` The value 264 and the expansion “240 learning + 24 deterministic” are arithmetically wrong. Endpoints and CANARY-FAIL do not change.,Replace every 264 with 240; write “trajectory” rather than ambiguous “record”; preserve 40 as the file count.
Learning-trajectory subtotal,`PROVED-MATHEMATICALLY` 3 arms × 3 seeds × 4 profiles × 6 trajectories = 216.,`CONTRADICTED` 240 is not the learning subtotal.,"Correct report, claim card, captions, and any derived metadata."
Unit called “evaluation record”,`PROVED-MATHEMATICALLY` One file contains six trajectories; one arm–seed–profile block is one file and six trajectories.,`PLAUSIBLE-NOT-IDENTIFIED` Ambiguity can propagate false sample sizes and independence claims.,Use the hierarchy file → trajectory → time step → actor/action component explicitly.
`formal_manifest.json` count versus narrative report,`PROVED-MATHEMATICALLY` The stated design and formal-manifest value agree at 240.,"`POST-HOC-DIAGNOSTIC` This is a reporting-QA defect, not an observed policy-failure mechanism.",Make the manifest the canonical count source and regenerate narrative tables from it.
Missing `formal_execution.json`,`UNAVAILABLE` The execution-layer provenance object is absent.,"`UNAVAILABLE` Invocation, environment, commit, command line, timing, and complete chain-of-custody cannot be independently reconstructed from the supplied package. No causal link to performance is shown.",Restore it if it exists; otherwise add an immutable provenance exception/sidecar listing the missing fields and why.
`formal_analysis.json#/round = R401` inside an R402 object,`PROVED-MATHEMATICALLY` The canonical round should be R402 if the file belongs to this experiment.,`PLAUSIBLE-NOT-IDENTIFIED` It may be a stale field or a wrong-round lineage error; the package does not establish artifact mixing. It lowers reporting confidence until reconciled.,"Cross-check paths, hashes, timestamps, run IDs, and manifest references; issue an erratum/sidecar rather than silently altering a hashed artifact."
Source hashes,"`UNAVAILABLE` With only the Markdown package supplied, hashes are provenance metadata, not independently verified content.","`UNAVAILABLE` This audit verifies internal arithmetic, not repository integrity.",Supply the named artifacts and run a hash/manifest verification script before submission archival.
Snapshot serialization order,"`PROVED-MATHEMATICALLY` Numeric order is 240, 480, 720, 960, 1200, 1440; lexicographic order is not chronological. The final checkpoint label 43,200 is an interaction-step count.",`CONTRADICTED` The current serialized list cannot be interpreted as a learning trajectory in its stored order; final values remain readable.,"Parse the numeric episode token, sort numerically, and store a separate `unit` field."
`convergence_diagnostics_valid=true`,"`PROVED-MATHEMATICALLY` It certifies completion without a nonfinite-loss invalid reason, not optimization convergence.",`CONTRADICTED` It cannot support “converged” or “failed to converge.”,Rename/descriptively document the flag as execution-validity only.
Post-hoc differential-cost wording,`PROVED-MATHEMATICALLY` The reconstruction sets power to zero and omits the training term involving $T_dP_{es}$.,`CONTRADICTED` It is not the complete CD differential objective.,Use “frequency-only differential-cost reconstruction”; log $P_{es}$ prospectively.
Saturation terminology,`PROVED-MATHEMATICALLY` Registered physical-saturation ratio and post-hoc $|a|>0.999$ component count are different diagnostics.,`CONTRADICTED` Zero registered physical saturation does not imply no normalized actor components were near ±1.,"Keep separate names, denominators, and guard status."
Independence/sample-size interpretation,"`PROVED-MATHEMATICALLY` Endpoint medians have three seed-level values per arm; 36 blocks are nested in nine trained policies; 5,760 action components are dependent samples; 120 tail episodes are nested in six runs.",`CONTRADICTED` None of these lower-level counts is a population sample of independent trained policies.,Report the hierarchical unit for every statistic and retain the bounded-descriptive interpretation.
