title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Small‐Signal Weak‐Grid Instability of Grid‐Forming Converters Considering DC‐Capacitor Voltage Dynamics,"Q Liu, M Zhan, X Yao, W Li, L Zhu",2026,0,"… Meanwhile, the large-scale penetration of GFL converters significantly reduces the … and stable operation. This issue is particularly pronounced in weak grids under low short-circuit ratios …",zNZmSrHwodMJ,"Q Liu, M Zhan, X Yao, W Li, L Zhu - IET Power Electronics, 2026 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/pel2.70271,unknown,unknown
A grid-forming control method of the PMSG-based wind turbine suitable for wide-range short-circuit ratio,"X Pei, W Xu, C Jia, K Song, J Xie",2026,0,"… and weak grids. In summary, existing control methods mainly concentrate on single grid-forming converter… on the challenge of stable operation for the existing grid-forming PMSG-based …",YLlcnCswXlQJ,"X Pei, W Xu, C Jia, K Song, J Xie - CSEE Journal of Power and …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11449486/,unknown,unknown
Consider the calculation method of the short circuit ratio of the network response for grid-forming converters,"L Yanling, L Jiuyang, L Zhipeng, Z Yuqing",2026,0,… challenges of voltage stability assessment in … short circuit ratio (SCR) indicators and proposing a modified Network Response Short Circuit Ratio (NRSCR) method that incorporates grid…,nmurdtEHPCQJ,"L Yanling, L Jiuyang, L Zhipeng, Z Yuqing - Electric Power Systems …, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0378779626004566,unknown,unknown
Stability Analysis and Improvement Mechanism of Grid‐Forming Converter Connected to a Low‐Impedance Grid,"X Ji, J Wen, Y Huang",2026,0,"… at a short‐circuit ratio (SCR) of 6. Therefore, the stability of the GFM converter decreases with the rise … In a similar way, Figure 3c,d demonstrates that the stability of the GFM converter is …",lY0Eq4plJJwJ,"X Ji, J Wen, Y Huang - High Voltage, 2026 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/hve2.70218,unknown,unknown
Short-Circuit Ratio Constrained Robust Unit Commitment with Grid-Forming Energy Storage: A Filter-Column-and-Constraint Generation Algorithm,"T Xue, T Ding, Y Ding, W Jia, X Fang…",2026,0,"… not considered the short-circuit ratio on dispatch decisions, … short-circuit ratio constraints and employs grid-forming energy … of converter-based resources on system’s strength, Short-…",SJUE9jGVHegJ,"T Xue, T Ding, Y Ding, W Jia, X Fang… - IEEE Transactions …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11617340/,unknown,unknown
Small-Signal Stability of Hybrid Grid-Forming and Grid-Following Converter Systems: Grid Strength Effect,"X Yao, M Zhan, Y Pan",2026,0,"… stability of a 100% hybrid grid-forming (GFM) and grid-following (GFL) converter system and uncovers the general role of grid … strength, or the so-called “short-circuit ratio (SCR).” When …",HOuxZOKHXUgJ,"X Yao, M Zhan, Y Pan - IEEE Canadian Journal of Electrical …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11585884/,unknown,unknown
Stability Improved Strategy for Near-area Grid-forming Converters Under the Weak Grid Condition,"P Wang, J Ma, S Wang, R Zhang…",2026,0,"… short-circuit ratio method, the impact of grid-forming control on improving the small-signal stability … aggregating the inverters in terms of the shortcircuit capacity. This approach may result …",Wk4KsEnN04kJ,"P Wang, J Ma, S Wang, R Zhang… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11433827/,unknown,unknown
Grid strength assessment method for evaluating small-signal synchronization stability of grid-following and grid-forming converters integrated systems,"Q Shi, W Dong, G Wang, J Ma, C Wang…",2025,34,"… short-circuit ratio and the different oscillation modes, an equivalent circuit is proposed to simplify the grid strength assessment through the topological transformation of the AC grid. The …",ZrrBi09pRjoJ,"Q Shi, W Dong, G Wang, J Ma, C Wang… - Journal of Modern …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10834451/,unknown,unknown
Small-signal stability assessment method based on online prediction of the critical short-circuit ratio for grid-forming converters,"W Dong, Y Cheng, Y Yang, F Zhang…",2025,1,"… of grid-forming (GFM) converters into strong AC grids introduces new stability challenges, particularly low-frequency oscillations, emphasizing the need for real-time small-signal stability …",HBYfKQG-PTQJ,"W Dong, Y Cheng, Y Yang, F Zhang… - Frontiers in Energy …, 2025 - frontiersin.org",[],https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2025.1738311/full,unknown,unknown
Low voltage ride-through capability of grid-connected PV systems: a comparative study of grid-following and grid-forming converters under current limits,"ZM Almesri, HA Hussain, RM Kamel",2025,7,"… shortcircuit ratio (SCR), while GFM converters face instability … varying Short Circuit Ratios (SCR) and Grid Impedance Ratios (… of how these factors influence the converter performance. …",bWMxPl2PJGMJ,"ZM Almesri, HA Hussain, RM Kamel - IEEE Access, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11037760/,unknown,unknown
