title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Deep Reinforcement Learning for Power Converter Control: A Comprehensive Review of Applications and Challenges,"A Rajamallaiah, SVK Naresh…",2025,31,"… This review provides a comprehensive analysis of the state-of… further research exploration and reproducibility in the field. … such as autonomous vehicles, power grid control, or industrial …",1BE3OnWFfZUJ,"A Rajamallaiah, SVK Naresh… - … Journal of Power …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11197642/,unknown,unknown
A review of safe reinforcement learning methods for modern power systems,"T Su, T Wu, J Zhao, A Scaglione…",2025,94,"… rigorous analysis of safe reinforcement learning techniques … across various power system operations and control domains… RL methods to ensure reproducibility, enable improvements, …",Z6gYMhoDRmcJ,"T Su, T Wu, J Zhao, A Scaglione… - Proceedings of the …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11074719/,unknown,unknown
"Challenges of real-world reinforcement learning: definitions, benchmarks and analysis","G Dulac-Arnold, N Levine, DJ Mankowitz, J Li…",2021,1094,"… To make experiments more easily reproducible we did not use distributed training for either D4PG or DMPO. Additionally, unless otherwise noted, evaluation is performed on the same …",ANAemb2O44UJ,"G Dulac-Arnold, N Levine, DJ Mankowitz, J Li… - Machine Learning, 2021 - Springer",[],https://link.springer.com/article/10.1007/s10994-021-05961-4,unknown,unknown
Navigating the landscape of deep reinforcement learning for power system stability control: A review,"MS Massaoudi, H Abu-Rub, A Ghrayeb",2023,85,"… However, a comprehensive analysis of these RL-based PSS has been lacking in the current … problem settings and benchmark datasets, facilitating the evaluation and comparison of …",2nlh30fi6McJ,"MS Massaoudi, H Abu-Rub, A Ghrayeb - IEEE access, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10329337/,unknown,unknown
A toolkit for reliable benchmarking and research in multi-objective reinforcement learning,"F Felten, LN Alegre, A Nowe…",2023,100,"… tools allowing for appropriate evaluation practices, resulting in a reproducibility crisis within the field… 2023) facilitate the analysis of various learning metrics, and tackle the reproducibility …",avn_AVzQdYIJ,"F Felten, LN Alegre, A Nowe… - Advances in …, 2023 - proceedings.neurips.cc",[],https://proceedings.neurips.cc/paper_files/paper/2023/hash/4aa8891583f07ae200ba07843954caeb-Abstract-Datasets_and_Benchmarks.html,unknown,unknown
Reinforcement learning for optimizing renewable energy utilization in buildings: A review on applications and innovations,"P Michailidis, I Michailidis, E Kosmatopoulos",2025,82,"… Keyword Research: A comprehensive keyword analysis was … The study reinforced RL’s potential to enhance energy system … inconsistencies, and challenges related to reproducibility. …",UEVxaqLmf3YJ,"P Michailidis, I Michailidis, E Kosmatopoulos - Energies, 2025 - mdpi.com",[],https://www.mdpi.com/1996-1073/18/7/1724,unknown,unknown
Reinforcement learning model-based and model-free paradigms for optimal control problems in power systems: Comprehensive review and future directions,"E Ginzburg-Ganz, I Segev, A Balabanov, E Segev…",2024,43,"… reinforcement learning in power system optimal control problems. Based on an extensive analysis … development and benchmarking of DRL algorithms for power system control, which is …",H9g_yW7vimcJ,"E Ginzburg-Ganz, I Segev, A Balabanov, E Segev… - 2024 - preprints.org",[],https://www.preprints.org/frontend/manuscript/6f3014af1a5e2f0f45d73087881d90e4/download_pub,unknown,unknown
"Deep Reinforcement learning for resilient power and energy systems: Progress, prospects, and future avenues",M Gautam,2023,105,"… in enhancing power system resilience, making this review paper a … with utilization and benchmarking challenges. Lastly, the … This in-depth analysis of DRL applications is followed by a …",d_jLQBPzfFQJ,"M Gautam - Electricity, 2023 - mdpi.com",[],https://www.mdpi.com/2673-4826/4/4/20,unknown,unknown
Comparison of reinforcement learning and model predictive control for building energy system optimization,"D Wang, W Zheng, Z Wang, Y Wang, X Pang…",2023,154,Advanced controls could enhance buildings’ energy efficiency and operational flexibility while guaranteeing the indoor comfort. The control performance of reinforcement learning (RL) …,E4p4yo6FYM4J,"D Wang, W Zheng, Z Wang, Y Wang, X Pang… - Applied Thermal …, 2023 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1359431123004593,unknown,unknown
Review and evaluation of reinforcement learning frameworks on smart grid applications,"D Vamvakas, P Michailidis, C Korkas…",2023,98,… Reinforcement Learning (RL): Reinforcement Learning (RL) portrays a promising control approach for energy system … The review encompasses the exploration and analysis of various …,w7tpT6Tt3nEJ,"D Vamvakas, P Michailidis, C Korkas… - Energies, 2023 - mdpi.com",[],https://www.mdpi.com/1996-1073/16/14/5326,unknown,unknown
