problem_id,observable,sealed_or_new_file,field_or_pointer,support_direction,refute_or_narrow_direction
M3,CD message sign,results/research_loop/r410_message_repair/endpoint_table.json,/full_method_improvement_vs_comparators/cd_matd3_no_message/*,Both registered improvements remain negative,Either contrast changes sign under exact recomputation
M3,adapted-SAC message sign,results/research_loop/r431_sac_slew/formal_analysis.json,/b1_table/message_improvement_vs_comparators/cd_matd3_no_message/*,Both registered improvements remain positive,Either contrast changes sign
M3,observation-channel differential attribution,results/research_loop/r438_sac_message_channels/formal_analysis.json,/classification/channel_sides/sac_obs_only/disturbance,Field is message and paired uncertainty excludes no-message,Field becomes no_message or adequate precision shows no separation
M3,reward-channel attribution,results/research_loop/r438_sac_message_channels/formal_analysis.json,/classification/channel_sides/sac_rew_only/*,Reward-only arm moves to message side,Both fields remain no_message
M3,finite-learning penalty,NEW_REGISTERED_DIAGNOSTIC,train/validation TD loss; actor-gradient variance; feature conditioning; message-shuffle placebo,Message access increases estimation or optimization cost while oracle/population value is nonnegative,Negative contrast persists under verified nested exact optimization without measurable penalty
M5,temporal variation actually selected,results/research_loop/r441_timevarying_guard/profiles/eval_*.json,/winner_candidate,At least one adjacent segment differs,Every segment is identical
M5,endpoint headroom,results/research_loop/r441_timevarying_guard/profiles/eval_*.json,/guards/r_d_improvement and /guards/r_cross_improvement,Both improvements are positive,Either improvement is nonpositive
M5,measured action trade-off,results/research_loop/r441_timevarying_guard/profiles/eval_*.json,/static/action_*; /winner/action_*; /guards/action_stress_no_harm/*,Endpoint-improving winner raises stress and action guards fail,A winner improves endpoints while both action guards pass
M5,common-mode separation,results/research_loop/r441_timevarying_guard/profiles/eval_*.json,/guards/common_no_harm/*,All common guards pass while action guards fail,Common guards fail and confound the action-only interpretation
M5,lower-stress winner existence,NEW_ALL_CANDIDATE_GUARD_TABLE,one row per candidate/profile with endpoints and all guards,An endpoint-eligible candidate dominates the selected winner in stress and passes guards,Exhaustive bounded-class evaluation finds none
M4,endpoint collapse,results/research_loop/r436_energy_residual_sac/formal_analysis.json,/classification/beyond_deterministic_variants/* and /variants/* ,Lists remain empty and endpoint deviations remain near the anchor,A residual arm reproducibly exceeds the anchor on a registered variant
M4,true return first variation,NEW_SYMMETRIC_RESIDUAL_PROBE,return(+epsilon*d); return(0); return(-epsilon*d),Centered slope is statistically zero in every registered tangent direction,A direction has a reproducible positive return slope
M4,local curvature,NEW_SYMMETRIC_RESIDUAL_PROBE,second differences by direction,Curvature is nonpositive in every material feasible direction,A positive-curvature or improving direction exists
M4,critic action gradient,NEW_CHECKPOINT_DIAGNOSTIC,grad_a_q1; grad_a_q2; active-min critic; projection Jacobian,Projected expected gradient is near zero and stable across seeds,Critic predicts a substantial improving residual that actor does not follow
M4,projection suppression,NEW_ACTION_ACTIVE_SET_LOG,raw residual; projected action; active-set id,Raw residual is nonzero but projection returns the anchor,Raw and projected residuals agree
M1,ceiling persistence,results/research_loop/r425_guard_constraints_signfix/formal_analysis.json and results/research_loop/r427_critic_target_normalization/formal_analysis.json,/guard_multiplier_readout/<run>/mu_rms_trace and mu_tv_trace,Multiplier stays at multiplier_max while aligned residual is nonnegative,A negative residual is followed by an unchanged ceiling multiplier under the same update
M1,signed residual,same R425/R427 files,/guard_multiplier_readout/<run>/rms_residual_trace and tv_residual_trace,Residuals remain positive while multipliers are pinned,Residuals remain negative for sustained updates without multiplier release
M1,cap insufficiency,NEW_REGISTERED_CAP_SWEEP,aligned residual/multiplier/guard traces by cap,Larger caps increase multiplier magnitude but guards still fail,A modest cap increase produces guard feasibility
M1,step-size effect,NEW_REGISTERED_STEP_SWEEP,aligned residual/multiplier/guard traces by step,Arrival time changes but positive-residual cap regime remains,Pinning disappears solely by reducing step at fixed cap and identical gradients
M1,policy-class infeasibility,NEW_BOUNDED_CLASS_SEARCH_OR_CERTIFICATE,exact class definition and primal/dual result,No feasible policy exists in the precisely bounded class,A feasible controller in that exact class is found
M2,critic growth,results/research_loop/r421_diagnostics/diagnostic_readout.json and results/research_loop/r432_b3_diagnostics/train/*/seed*/diagnostics_summary.json,critic-loss Q4/Q1 fields listed in evidence/m2_ratio_sources.json,Growth reproducibly precedes common degradation,Common degradation precedes growth or occurs without it
M2,normalization intervention,results/research_loop/r427_critic_target_normalization/formal_analysis.json,/critic_loss_original_readout/*/ratio and /classification/guard_failures,Reducing critic growth reduces matched common/peak failures,Growth falls while common/peak failures persist
M2,multiplier alternative,results/research_loop/r435_multiplier_floor/formal_analysis.json,/mechanical_ok; /primary_pairs_hit; /primary_threshold; /verdict,Floor intervention reaches the registered primary threshold,Current below-threshold REFUTED result persists
M2,head-specific gradient error,NEW_HEAD_SPECIFIC_DIAGNOSTIC,true and critic grad_a_Q_d; grad_a_Q_c; cosine with physical changes,Common-head error grows first and predicts harmful actions,Differential/common errors are similar or common gradient is accurate
M2,head-specific stabilization,NEW_FACTORIAL_INTERVENTION,common-only; differential-only; both; neither critic stabilization,Common-only stabilization selectively improves common/peak guards,Only differential stabilization helps or neither affects guards
M2,temporal precedence,NEW_UPDATE_ALIGNED_LOG,critic calibration/error and common cost/peak by update,Critic error crosses preregistered threshold before degradation,No consistent precedence across seeds
