Mechanism,Evidence,Epistemic status,Alternative explanation,Manuscript-safe claim
1. Multiplier/budget calibration,"Update is mechanically fixed; all final-20 traces lie between 0 and 0.2193, touch zero, and finish at 0.0043–0.1406; every per-run tail median $C_c<3$.",`POST-HOC-DIAGNOSTIC` for a weak/intermittently zero tail weight; `PLAUSIBLE-NOT-IDENTIFIED` as a cause of endpoint failure.,$Q_c$ or its action gradient may be much larger than $Q_d$; earlier training may have had material common weighting.,"The retained tail shows a numerically small projected multiplier, but the fraction of actor updates with negligible common-gradient contribution is unknown."
2. Missing action-effort regularization,"No explicit magnitude, RMS, TV, or slew-use term in either CD channel; CD actions and slew-limit use exceed the deterministic reference.",`PROVED-MATHEMATICALLY` for the omission; `POST-HOC-DIAGNOSTIC` for action stress; `PLAUSIBLE-NOT-IDENTIFIED` for causation.,"Large actions may result from critic error, exploration/coverage, decoder geometry, or limited headroom; scalar TD3 also fails despite a different reward with action-related terms.","The action-stress pattern is consistent with an unpenalized-effort objective, but no causal effect on either physical endpoint is isolated."
3. Objective/endpoint mismatch,"Training costs differ from the signed off-diagonal and localized finite-window endpoints, and the CD objective does not encode all registered guard ceilings.",`PROVED-MATHEMATICALLY` as a design mismatch; `PLAUSIBLE-NOT-IDENTIFIED` as the realized failure cause.,A well-optimized surrogate can still correlate with the registered endpoints; failure could instead be optimization or authority-limited.,The learned policy was optimized for a surrogate objective rather than the full physical decision contract.
4. Optimization insufficiency,"Only frozen budget completion and absence of nonfinite losses are known; losses, Bellman residuals, Q calibration, gradients, coverage, and full curves are missing.",`PLAUSIBLE-NOT-IDENTIFIED`.,"The optimizer may have adequately minimized a misaligned objective, or the action channel/information pattern may limit attainable performance.",Optimization adequacy cannot be determined from the retained diagnostics.
5. Partial observability/information insufficiency,"Each actor is memoryless and receives seven local/neighbor slots; no observability, state-reconstruction, or history-sufficiency test exists.",`PLAUSIBLE-NOT-IDENTIFIED`.,"The slots may be sufficient, while approximation/optimization fails to exploit them.",The experiment does not establish whether the actor observations are sufficient for the target response.
6. Runtime-message value failure,"Matched median message increments are −22.3% cross and −5.5% differential; seed 403 is positive on both metrics, while seeds 401/402 are negative. Cross-policy action correlations are near zero.",`REGISTERED-EMPIRICAL` for no positive median increment in this bundle; `PLAUSIBLE-NOT-IDENTIFIED` for redundancy or intrinsic uselessness.,"Messages may be informative but poorly learned, normalized, explored, or used; separately trained policies can differ for many reasons.",Enabling the registered neighbor slots produced no positive three-seed median increment under the frozen bundle.
7. Credit assignment/centralized-critic mismatch,"Four independently executed actors share a joint critic with global cost channels; no agent-wise advantage, gradient, or attribution logs exist.",`PLAUSIBLE-NOT-IDENTIFIED`.,Centralized training may be adequate; objective mismatch or plant authority can explain the same outcomes.,The present logs cannot assess whether centralized-critic credit assignment limited learning.
8. Action-decoder geometry,"Piecewise slopes 200/600, nondifferentiability at zero, slew projection, and lower clamps alter the normalized-to-physical map; registered physical saturation is zero.",`PROVED-MATHEMATICALLY` for geometry; `PLAUSIBLE-NOT-IDENTIFIED` for its causal role.,The deterministic controller succeeds through the same broad direct-M/D object; lower clamps may not have activated.,"Decoder and slew geometry may condition learnability and reachability, but no matched decoder intervention isolates this effect."
9. Direct-M/D physical authority,R399 deterministic direct-M/D reduces the two endpoints by 60.79% and 64.13% versus zero action and passes guards; finite-family oracle finds no additional improvement.,`CONTRADICTED` for “no authority”; `PLAUSIBLE-NOT-IDENTIFIED` for limited learnable incremental headroom.,Arbitrary state-dependent direct-M/D trajectories may retain headroom beyond the nine-law family.,"Direct M/D has nonzero finite-amplitude authority, while its local conditioning and residual headroom remain unquantified."
10. Strong-comparator headroom,The comparator is strong within a nine-law deterministic family and is oracle-selected on four R399 evaluation profiles.,`REGISTERED-EMPIRICAL` within that finite family.,Global or trajectory-level direct-M/D optima may outperform it.,"R402 compares against a strong finite-family reference, not a proven global optimum."
11. Distribution shift,Training uses four development profiles and final evaluation uses four disjoint profiles; no matched within-profile learning/evaluation decomposition is supplied.,`PROVED-MATHEMATICALLY` for the split; `PLAUSIBLE-NOT-IDENTIFIED` for its contribution.,"Policies may already be poor on development profiles, so held-out shift may be secondary.","Held-out-profile generalization is part of the frozen test, but its separate contribution is not identified."
12. Action-basis alignment,"The separate energy-port object passes R408/R409 with ratios below one, but differs in actuator, estimator, window, bank, and reference.",`REGISTERED-EMPIRICAL` for feasibility of that separate object; `PLAUSIBLE-NOT-IDENTIFIED` for causing R402.,"Controller structure, estimator, feasible headroom, or comparator differences—not action basis alone—may explain success.","The energy-port result motivates, but does not identify, an action-basis hypothesis."
13. Implementation/accounting defects,"240/264 conflict, missing execution provenance, stale R401 round field, and snapshot ordering defect.",`POST-HOC-DIAGNOSTIC` as reporting/provenance defects; `UNAVAILABLE` as policy-failure causes.,The numerical endpoints may still be correct and tied to the intended runs.,"These defects reduce reporting confidence and must be repaired, but no causal link to controller performance is demonstrated."
