title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A review of safe reinforcement learning methods for modern power systems,"T Su, T Wu, J Zhao, A Scaglione…",2025,94,"… [70] utilize a stabilityconstrained RL method for real-time voltage control in distribution grids, … stability guarantee using the Lyapunov function. A visualization of a Lyapunov-based safe …",Z6gYMhoDRmcJ,"T Su, T Wu, J Zhao, A Scaglione… - Proceedings of the …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11074719/,unknown,unknown
Stability constrained reinforcement learning for decentralized real-time voltage control,"J Feng, Y Shi, G Qu, SH Low…",2023,58,… world power systems has been hindered by a lack of explicit stability and safety guarantees. … The key idea underlying our approach is an explicitly constructed Lyapunov function that …,xXkY3R0721EJ,"J Feng, Y Shi, G Qu, SH Low… - … of Network Systems, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10336939/,unknown,unknown
Safe reinforcement learning for grid-forming inverter based frequency regulation with stability guarantee,"H Shuai, B She, J Wang, F Li",2024,25,"… Lyapunov function according to system dynamics in [16], we design the Lyapunov function as the value function … This allows both the Lyapunov function and the MBRL agent to update …",1adQi232ymYJ,"H Shuai, B She, J Wang, F Li - … Systems and Clean Energy, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10495852/,unknown,unknown
A review on safe reinforcement learning using lyapunov and barrier functions,"DS Kushwaha, ZA Biron",2025,11,"… system failure. The goal of this review is to provide an overview of safe RL techniques using Lyapunov … that can benefit from safe RL with theoretical guarantees is power system control, …",u_QbAUei7J0J,"DS Kushwaha, ZA Biron - arXiv preprint arXiv:2508.09128, 2025 - arxiv.org",[],https://arxiv.org/abs/2508.09128,unknown,unknown
Lyapunov-based safe reinforcement learning for managing hybrid hydrogen-electric energy system,"Y Zou, A Zhang, X Zhang, W Yang, Y Lin…",2026,0,"… safety and economic viability of hybrid hydrogen-electric microgrids, this study proposes a Lyapunov-based safe reinforcement learning … safety guarantees,thereby providing a safe and …",7s5OQwoUUvIJ,"Y Zou, A Zhang, X Zhang, W Yang, Y Lin… - Electric Power Systems …, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S037877962600194X,unknown,unknown
Lyapunov-regularized reinforcement learning for power system transient stability,"W Cui, B Zhang",2021,56,"… of an analytical Lyapunov function, we learn a Lyapunov function … respect to the physical power system. The learned neural … the equilibrium is guaranteed to satisfy Lyapunov conditions. …",sPCiQlLVON0J,"W Cui, B Zhang - IEEE Control Systems Letters, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9449840/,unknown,unknown
A barrier-certificated reinforcement learning approach for enhancing power system transient stability,"T Zhao, J Wang, M Yue",2023,45,"… causes the system to take time to return to a safe operation region … (ie, safe control) that can maintain stability and guarantee … lyapunov control for power system transient stability: A deep …",H3BR7Y7UyLAJ,"T Zhao, J Wang, M Yue - IEEE Transactions on Power Systems, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10005839/,unknown,unknown
Lyapunov-based safe reinforcement learning for microgrid energy management,"G Hao, Y Li, Y Li, L Jiang, Z Zeng",2024,30,"… By directing the RL agent to update its policy within this set, we guarantee its safety … the power system. Although this waste of sources increases the operating costs of the power system, …",NXbhcp-hyaAJ,"G Hao, Y Li, Y Li, L Jiang, Z Zeng - … and learning systems, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10795439/,unknown,unknown
Lyapunov-based uncertainty-aware safe reinforcement learning,"AB Jeddi, NL Dehghani, A Shafieezadeh",2021,18,"… highlights safety concerns is the management of the power grid, … In these safety-critical tasks, it is essential to find safe … theoretical guarantees of Lyapunov-based algorithms for safety. …",aXE9dZUqVSkJ,"AB Jeddi, NL Dehghani, A Shafieezadeh - arXiv preprint arXiv:2107.13944, 2021 - arxiv.org",[],https://arxiv.org/abs/2107.13944,unknown,unknown
Stability-guided reinforcement learning control for power converters: A lyapunov approach,"Y Wan, Q Xu",2025,23,"… a Lyapunov function with the RL controller, enhancing its control performance while ensuring converter system stability. … policy that guarantees the closedloop stability of the system and …",GCqNobrj03EJ,"Y Wan, Q Xu - IEEE Transactions on Industrial Electronics, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10820008/,unknown,unknown
