title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Strategic Placement of Grid-Forming Inverters Considering Spatiotemporal Dynamics and Composite Stability Index,"C Liyanage, L Meegahapola…",2025,4,"… aspects of converter-interfaced renewables and a newly … System inertia is severely affected as the RE penetration … In this study, the optimal inertia distribution is obtained to maintain the …",D2SMtDrvCUcJ,"C Liyanage, L Meegahapola… - IEEE Open Journal of …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10872818/,unknown,unknown
Optimization of power management in PV-based smart grids using grid-support and grid-forming inverters.,"AH Bagdadee, IA Mamoon, DA Dewi, AKM Islam…",2026,3,"… The penetration level of renewable energy sources such as … coordination of distribution generation units’ power allocation, to … Grid-forming inverters can simulate the natural inertia of …",GQtGmjBNYN4J,"AH Bagdadee, IA Mamoon, DA Dewi, AKM Islam… - Plos …, 2026 - search.ebscohost.com",[],https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=19326203&AN=191547104&h=4tdtmapmCDvWAe4bMryjnnDQZibD9zc8c7Im0poGz0pFM1MlGb6xDlx5Icb%2Bvfr1LQUSDciXJZmWXhEoEYunCA%3D%3D&crl=c,unknown,unknown
Optimal Placement of Grid-Forming Inverters in Low Inertia Power Systems Using Bacterial Foraging Optimization,"S Shahzad, TR Alsenani, P Wheeler…",2024,2,"… renewable energy systems lack such intrinsic inertia. Consequently, grids with a high penetration of renewable … via power electronic converters has reduced inertia within power systems…",O8y2XVRLXjwJ,"S Shahzad, TR Alsenani, P Wheeler… - 2024 Global Energy …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10881971/,unknown,unknown
Integration of DRL-driven edge computing for adaptive synthetic inertia allocation in grid-forming BESSs under spatial frequency variations,"Y Asadi, M Eskandari, M Mansouri",2026,4,"… storage systems (BESSs) with grid-forming inverters (GFMIs) has … inertia and dynamic frequency support. However, coordinating the dynamic response of multiple BESSs under spatial …",BQM_BVUk5ykJ,"Y Asadi, M Eskandari, M Mansouri - Journal of Energy Storage, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2352152X25037788,unknown,unknown
Comparative analysis and optimal allocation of virtual inertia from grid‐forming and grid‐following controlled ESSs,"N Zhu, P Hu, C Jiang, Y Yu…",2024,4,"… growing renewable energy penetration, and provide a collection of ESS configuration and … between the grid-following and grid-forming controlled converters and their corresponding VI. …",G_2g9gl0lToJ,"N Zhu, P Hu, C Jiang, Y Yu… - IET Renewable Power …, 2024 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/rpg2.13085,unknown,unknown
"Grid‐forming control for inverter‐based resources in power systems: A review on its operation, system stability, and prospective","M Khan, W Wu, L Li",2024,126,"… modelling that produces the distribution of system damping, … penetration of RPGs, the grid flexibility concerning inertia is … UK as to how much inertia the GFM converter (in the context of …",W6KAXTBf03sJ,"M Khan, W Wu, L Li - IET Renewable Power Generation, 2024 - Wiley Online Library",[],https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/rpg2.12991,unknown,unknown
Grid Forming Converters for Low Inertia Systems− Capabilities and Limitations: A Critical Review,"Q Salem, BB Fawaz, R Aljarrah…",2025,31,"… , causing the operational dynamics of modern distribution … GFM converter with an increase of RESs’ penetration level. … the optimal location and number of installed GFM converters …",Vn0axQbIxWsJ,"Q Salem, BB Fawaz, R Aljarrah… - IEEE Open Journal of …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10981620/,unknown,unknown
Hybrid compatible grid forming inverters with coordinated regulation for low inertia and mixed generation grids,"B Bhowmik, MA Acquah, SY Kim",2025,14,"… electronic inverters and converters introduces significant … in low-inertia power systems with high renewable penetration. The … , position them as a promising solution for future low-inertia, …",TQKiOKV5AmcJ,"B Bhowmik, MA Acquah, SY Kim - Scientific Reports, 2025 - nature.com",[],https://www.nature.com/articles/s41598-025-11367-2,unknown,unknown
"Grid-Forming Inverters in Photovoltaic Power Systems: A Comprehensive Review of Modeling, Control, and Stability Perspectives","Y Hakam, M Tabaa",2026,2,… able in synchronous machines for grid-forming converters [31–33]. … of low-inertia systems involving both grid-forming and grid-… toward low-inertia grids with high renewable penetration. …,R9MqtgHW5DUJ,"Y Hakam, M Tabaa - Energies, 2026 - researchgate.net",[],https://www.researchgate.net/profile/Youness-Hakam-2/publication/401466169_Grid-Forming_Inverters_in_Photovoltaic_Power_Systems_A_Comprehensive_Review_of_Modeling_Control_and_Stability_Perspectives/links/69a6b4eb43ad5e30a854cc2d/Grid-Forming-Inverters-in-Photovoltaic-Power-Systems-A-Comprehensive-Review-of-Modeling-Control-and-Stability-Perspectives.pdf,unknown,unknown
Grid-forming converters for renewable generation: A comprehensive review,"MW Qaisar, J Fang",2025,18,"… as power systems evolve toward low-inertia, inverter-dominated … with high renewable penetration [22]. Additionally, CHB … fails to ensure accurate power distribution. In such …",99jcVPlay4QJ,"MW Qaisar, J Fang - Energies, 2025 - mdpi.com",[],https://www.mdpi.com/1996-1073/18/17/4565,unknown,unknown
